영단어,한국단어
Doppler Effect,도플러 효과
Doppler Log,도플러로그
Doppler Soner,도플러소너
Dotted Line,점선(点線)
Double Acting Engine,복동기관
Double Air Compressor,이단공기압축기
Double Bevel,이중 개선(二重開先)
Double Bottom,선저 밑바닥
Double Bottom Construction Profile,이중저구조도
Double Cylinder Engine,쌍기통기관
Double Ender,쌍두선
Double Fillet Weld,양면 필렛용접
Double Heterostructure,더블 헤테로 접합
Double Hull,이중 선체(二重船體)
Double Insulation,이중절연
Double Plate Rudder,복판타
Double Reduction Gear,이단감속장치
Double Skin Construction,이중선체(S/Shell)구조
Double-J Groove Joint,양면 제이(J)이음
Doubling,덧댐
Down Light,국부(局部) 조명등
Down Stroke,하향행정
Down-Hand Welding,아래보기 용접
Downstream,후속공정(後續 工程)
Downton Pump,다운톤 펌프
Draft Gauge,통풍계
Draft Ladder,흘수사다리
Draft Marks,흘수표(吃水標)
Draft Stop,통풍막이판
Draft 【,항해】(배의)흘수(吃水)⇒<흘수(吃水):(물에 뜬 배의)선체(船體)가 물에 잠기는 깊이>
Drafting Group,초안작업반
Draftsman,제도사
Drag,드래그
Drag Head,드래그헤드
Drag Suction Hopper Dredger,드래그석션준설선
Dragging,드래깅
Drain Pipe,드레인 관
Drain Trap,드레인 트랩
Drainage System,배수(排水) 장치
Draw-off Hold Back Gear,장력조절기
Drawing Issue Schedule,도면출도 일정계획
Dreadnaught,초대형전함
Dredge Flow Meter,준설토사수유량계
Dredge Pump,준설펌프
Dredger,준설선(浚渫船)
Dredging Defth Meter,준설심도계
Dredging Pipe,준설관
Dresser Coupling,드레서 카플링
Drift Angle,편류각
Drifter,유망어선
Drifting Fish Aggregation Devices (DFADs),부유식 집어장치
Drill,드릴
Drill Machine,드릴머신
Drilling Barge,바지형굴착선
Drilling Rig,시추선(試錐船)
Drilling Tender,시추보급선
Drinking Water Fountain,냉식수기(冷食水器)
Dripproof,방적형(防滴形)
Driptray,기름(물) 받이
Driven Wheel,피동바퀴
Drop,선수침하
Drop Chisel Winch,중추윈치
Drop Test,낙하시험
Dry Cargo,건화물
Dry Powder Fire Extinguisher,분말소화기
Dry Provision Store,건조 식량고
Drydocking,입거(入渠)
Drying Tumbler,세탁물 건조기
Dual Duct,쌍덕트
Dual Fuel Engine,이중연료기관
Ductility Test,연성시험(延性 試驗)
Due Date Priority Rule,납기우선순위 규칙
Dumbwaiter,주방의 소형승강기
Dummy Activity,명목상(名目상) 활동
Dumping Condenser,과잉증기 응축기
Dumping Factor,제동 계수
Duplex Filter,복식(復式) 여과기
Duralumin,듀랄루민
Duration,기간(期間)
Dust Collector,집진기(集塵機)
Dutility,연성
Duty Cycle,사용률
Dye Penetrant Inspection,염료(染料) 침투시험
Dynamic Balance Test,동적 평형시험
Dynamic Balancing,동적 평형(動的平衡)
Dynamic Model,다이나모
Dynamo Engine,발전용기관
Dynamometer,동력계
E&T Group,편집기술작업반
E/I ( Erection Inspection),탑재검사(搭載 檢査)
E/Rm Arr't (Engine Room Arr't),기관실 배치도
EARLY FINISH DATE,조기작업 완료일
EARLY START DATE,조기작업 착수일
"EARTH LEAKAGE BREAKER, GROUND FAULT",누전 차단기
EARTH; GROUNDING,접지선
EBRD,유럽부흥개발은행
ECA,배출통제구역
ECDIS,전자해도 표시시스템
ECDIS (Electronic Chart Display and Information system),전자해도(電磁海圖) 시스템
ECHO,초음파 검사법
ECP (Electric Cable Pipe),파이프 전로(電路)
ECR (Engine Control Room),기관제어(機關制御)실
ECS (Electronic Chart System),간이전자해도 시스템
EDDY CURRENT,와전류
EDDY CURRENT TEST,와전류 탐상검사
EDI,전자자료교환
EEDI,선박에너지효율설계지수
EEOI,에너지효율운항지수
EEXI,현존선 에너지효율지수
EFFECTIVE HORSE POWER,유효 마력
EFFECTIVE ISOTROPICALLY RADIATED POWER,실효 등방 방사 전력
EFFECTIVE RADIATION POWER,실효 방사 전력
EGC,집단호출제도
EGCS,배기가스 정화 시스템(스크러버)
EGCS wash water,스크러버 배출수
EGW( Electro Gas Welding),일렉트로 가스용접
EHP (Effective Horse Power),유효마력(有效馬力)
EHS,위해성 평가 작업반
ELECTRIC CABLE PROTECTION,전기용 전선 보호
ELECTRIC ENERGY,전력량
ELECTRIC FLUX),전속
ELECTRIC POTENTIAL,전위
ELECTRIC POWER,전력
ELECTRIC POWER SUBSTATION,변전소
ELECTRICAL DISCHARGING MACHINING,방전 가공
ELECTRO COATINGS,전착 도료
ELECTRO GAS ARC WELDING,일렉트로 가스 용접
ELECTRO MAGNETIC INTERFERENCE,전자판 방해
ELECTRO MAGNETIC SPEED LOG,전자기 함속 속도 측정기
ELECTRO PNEUMATIC CONVERTER,전기 공기압 변환기
ELECTRO SLAG WELDING,일렉트로 슬랙 용접
ELECTROCARDIOGRAM,심전도
ELECTROLUMINESCENCE,전자 발광
ELECTROLYTIC CONDENSER,전해 콘덴서
ELECTROMAGNETIC COMPATIBILITY,전자적 적합성
ELECTROMAGNETIC FIELD,전자장
ELECTROMAGNETIC FORCE,전자력
ELECTROMAGNETIC INDUCTION,전자 유도
ELECTROMAGNETIC INTERFERENCE,전자기 방해
ELECTROMOTIVE FORCE,기전력
ELECTRON BEAM MACHINING,전자 빔 가공
ELECTRON BEAM WELDING,전자빔 용접
ELECTRON SPIN RESONANCE,전자 스핀 공명
ELECTRONIC COMMERCE,전자 상거래
ELECTRONIC CONCENTRATED ENGINE CONTROL,전자 집중 엔진제어 시스템
ELECTRONIC INDUSTRIAL ASSOCIATION,미국 전자 공업회
ELEVATION,측면도
ELONGATION,연신율
EMERGENCY CONTROL CONSOLE,비상 제어판
EMERGENCY POSITION INDICATING RADIO,비상용 위치표시 무선장치
EMERGENCY POSITION INDICATING RADIO BEACON,비상 조난 위치 표시 및 발신기
EMERGENCY SHUTDOWN,비상 차단
EMERGENCY SWITCH BOARD,비상 배전반
EMITTER COUPLED TRANSISTOR LOGIC,이미터 트랜지스터 논리회로
ENERGY MANAGEMENT SYSTEM,중앙 급전 시스템
ENGINE CONTROL ROOM,기관 제어실
ENGINE OPERATING STATION,기관 통제실
ENGINE ROOM,기관실
ENGINE SUB CONTROL ROOM,기관 보조 제어실
ENGINEERING WORK STATION,공학용 고성능 컴퓨터를 일컫는 말
ENGINEMAGNET,무정전 전원장치의 한 방식
ENVIRONMENTAL ASPECTS IN PRODUCT STANDARDS,제품 규격의 환경적 측면
ENVIRONMENTAL AUDITING,환경 감사
ENVIRONMENTAL LABELLING,환경 라벨링-환경 마크
ENVIRONMENTAL MANAGEMENT SYSTEM,환경 관리 체계
ENVIRONMENTAL PERFORMANCE EVALUATION,환경 성능 평가
ENVIRONMENTAL PROTECTION AGENCY,미국 환경청
ENVIRONMENTALLY SOUND AND SUSTAINABLE DEVELOPMENT,환경이 건강하게 지속될수 있는 개발
EPIRB,비상위치지시용 무선표지설비
EPIRB(Emergency Position Indicating Radio Beacon),비상 조난위치 발신기
EPL (EngPoLi),엔진출력제한
EPM ( Electro Photo Marking),전자사진 마아킹
EQUAL,동일하다. 같다.
EQUAL ANGLE,등변 형강재(산형재)
EQUASIS,유럽선박정보시스템
EQUIVALENT CIRCUIT,등가 회로
EQUIVALENT DIRECT RADIATION,상당 방열 면적
ERECTION,탑재
ERW (Electric Resistance Welding),전기저항 용접
ESBD(Emergency Switchboard),비상 배전반
ESPH,화학물질의 위해성 및 오염성 평가 작업반
EST (Early Start Time),최조(最早)개시시기
ESTIMATED TIME OF ARRIVAL,도착 예정시간
ESTIMATED TIME OF DEPARTURE,출발 예정시간
ETA,도착예정시각
ETA(Estimated Time of Arrival),도착예정 시간
ETD(Estimated Time of Departure),출발예정 시간
EU MRV,EU MRV
EUROPEAN COMMUNITIES,구주공동체
EUROPEAN UNION,구주 동맹
EX. WORKS,공장 인도조건
EXCESSIVE ACCELERATIONS,과도한 복원가속도
EXCITER,여자기
EXCITING CURRENT,여자 전류
EXHAUSED GAS BOILER,폐기 보일러
EXHAUST GAS,폐출 개스
EXPLOSION,방폭전기기기의 구조별표시방법
EXPLOSION - GRADE,방폭형 전기기기 표시기호
EXPLOSION - TEMP,방폭전기기기 최고표면온도
EXPLOSION PROVE,방폭형
EXTREME ULTRAVIOLET RADIATION,극자외선
Earth Connection,접지(接地)
Earth Detector,누전검출기
Earth Fault,전기 누전(漏電)
Earth Lamp,누전 검출등
"Earth Leakage Breaker,",누전 차단기
Earth Wire,접지선
Earth; Grounding,접지선
Earthened Distribution Systrem,접지식배선방식
Eccentric Load,편심하중
Eccentric Reducer,편심 레듀샤
Eccentric Wheel,편심륜
Eccentricity,편심(偏心)
Echo Sounder,음향 측심기(測深器)
Echo Sounding,음향측심
Economic Order Q'ty(EOQ),경제적 주문량
Economical Speed,경제 속도(經濟速度)
Ecpansion Stroke,팽창행정
Eddy Current,와전류
Eddy Making Resistance,와류저항
Edge Joint,변두리이음
Edge Joint Welding,변두리이음용접
Edge Preparation,개선 가공(開先加工)
Edge Preperation,끝가공
Edge Welding,변두리 용접
Eductor,이덕터
Effective Capacity,유효 능력(有效能力)
Effective Deck,유효갑판
Effective Hosepower : EHP,유효마력
Effective Isotropically,실효 등방 방사 전력
Effective Lrngth of Weld,유효용접길이
Effective Power,유효동력
Effective Radiation Power,실효 방사 전력
Effective Sectional Area,유효 단면적
Effective Throat,유효 각목(熔接脚目)
Effective Throat Thickness,유효목두께
Efficiency,효 율(效率)
Ejector,이젝터
Elastic After-effect,탄성후기효과
Elastic Coupling,탄성커플링
Elastic Deformation,탄성변형
Elastic Stability,탄성안전성
Elastic Stress,탄성응력
Elastic Vibration,탄성진동
Elasticity,탄성
Electric Arc Welding,아크 용접
Electric Brazing,전기브레이징
Electric Draft Gauge,전기식흘수계
Electric Energy,전력량
Electric Flux),전속
Electric Ignition Engine,전기점화기관
Electric Load Analysis,전기부하 분석
Electric Potential,전위
Electric Power,전력
Electric Power Substation,변전소
Electric Propeller Shaft Revolution Indicator,전기식프로펠러회전계
Electric Protection,전기방식법
Electric Radiator,전기방열기
Electric Resisrance Welding,전기저항용접
Electric Rudder Angle Indicator,전기식타각지시기
Electric Safety Lamp,전기안전등
Electric Shock,감전(感電)
Electric Smoke Indicator,전기식매연지시기
Electric Steel,전기로강
Electric Steering Engine,전동조타기
Electric Steering Telegraph,전기식조타텔리그래프
Electric Thermostat,전기식온도조절기
Electric Welding,전기용접
Electric Winch,전동식윈치
Electric Windlass,전동식윈드러스
Electrical Discharging,방전 가공
Electrical Installation,전장설치공사
Electrical Work,전장 공사(電裝工事)
Electro-Hydraulic System,전동유압장치
Electro-Magnetic Log(E.M Log),전자식 선속측정장치
Electro-Technical officer,전자기관사
Electro-hydraulic Steering Gear,전동유압식조타장치
Electro-slag Welding,일렉트로 슬래그 용접
Electrocardiogram,심전도
Electrode Holder,용접 호울더
Electrode Tip Holder,팁 홀더
Electrode Wire,전극와이어
Electrodeposit Copper,전기동
Electrolite,전해질
Electroluminescence,전자 발광
Electrolysis,전기분해
Electrolytic Condenser,전해 콘덴서
Electrolytic Corrosion,전기부식
Electromagnetic,전자기 방해
Electromagnetic Brake,전자기식제동기
Electromagnetic Coupling,전자기식커플링
Electromagnetic Electrokinematograph,전자해류계
Electromagnetic Field,전자장
Electromagnetic Force,전자력
Electromagnetic Induction,전자 유도
Electromagnetic Log,전자로그
Electromagnetic Valve,전자(電磁)밸브
Electromotive Force,기전력
Electron Beam Machining,전자 빔 가공
Electron Beam Welding,전자빔용접
Electron Spin Resonance,전자 스핀 공명
Electronic Buzzer,전자부저
Electronic Commerce,전자 상거래
Electronic Concentrated,전자 집중 엔진제어 시스템
Electronic Industrial,미국 전자 공업회
Electronic certificate,전자증서
Electronic seal,전자봉인
Electronic signature,전자서명
Electroplating,전기도금
Electrostatic Hazard,정전기(靜電氣) 위험
Elevation,앙각
Elevation (Elev.),측면도(側面圖)
Elliptical Blade,타원형날개
Elliptical Stern,타원형(楕圓形) 선미
Ellipticity,타원형
Elongation Percentage,연신율(延伸率)
Em'cy Shutdown Test,비상 차단시험
EmS Guide,선상 위험물 사고 시 비상대응지침
Embarkation Deck,승정갑판
Embarkation Ladder,구명정용 줄사다리
Embarkation Light,승정등
Emergency Boat,비상단정
Emergency Door,비상문(非常門)
Emergency Escape Trunk,비상탈출구 트렁크
Emergency Exit,비상탈출구
Emergency Fire Pump,비상소화펌프
Emergency Generator,비상발전기
Emergency Light,비상등
Emergency Mooring Wire Rope,경계 와이어로프
Emergency Position,비상용 위치표시 무선장치
Emergency Power Supply,비상전원 공급장치
Emergency Ration,비상식량
Emergency Shut Down Test,비상차단시험
Emergency Shutdown,비상 차단
Emergency Stop Test,긴급정지시험
Emigrant Ship,이민선
Emitter,이미터
Emitter Coupled Transistor,이미터 트랜지스터 논리회로
Empirical Data,경험적(經驗的) 자료
Employee Involvement,종업원 참여(參與)
Enclosed Ceiling,틈없는내장
Enclosed Portable Type Cargo Light,특수하역등
Enclosed Space,밀폐구역(密閉區域)
Enclosed spaces,폐위구역
End Link,끝고리
End Tab (Run-off Tab),앤드 태브
Endurance Limit,내구한계(耐久 限界)
Endurance Trial,내구 시험(耐久試驗)
Energy Management System,중앙 급전 시스템
Enforcement,집행
Engine Control Console,기관제어콘솔
Engine Room Arrengement,기관실배치도
Engine Room Bulkhead,기관실격벽
Engine Watch,기관당직
EngineMagnet,무정전 전원장치의 한 방식
Enlarged Scale,배척(培尺)
Ensign,상선기
Ensign Staff,국기 깃대(船尾깃대)
Entropy,엔트로피
Entry Guide,엔트리 가이드
Entry into force,발효
Environmental Criteria,환경기준(環境基準)
Environmental Effects,환경 영향
Environmental Protection,환경 보호(環境保護)
Equilibrium,평형(平衡)
Equip,배를)의장하다
Equipment List,장비 목록표
Equipment Number,의장수(艤裝數)
Equipment Replacement,장비 대치(裝備代置)
Equivalent Circuit,등가 회로
Equivalent Direct Radiation,상당 방열 면적
Erection,탑재
Erection Man,선대조립공
Erection Schedule,탑재 일정계획
Erection Sequence,탑재 순서(搭載順序)
Ergonomics,인간공학(人間工學)
Erosion,침식(浸蝕)
Escape Scuttle,탈출구
Escape Trunk,탈출통로
Escape pipe,도출관
Esge Grain,곧은결 널판
Establish Acceptance Standards,합격기준 설정(設定)
Estimated Labor Load,추정(推定) 인력부하
Etching,에칭
Eull Power Trial,전출력시운전
Eutectic Welding,공정용접
Evaluation of Alternatives,대안(代案)의 평가
Evaluation of Current Methods,현행방법의 평가
Evaluation of Production Performance,생산실적분석
Evaporating coil,증발 코일
Even Keel,이븐 키일(트림 0)
Evidence for protecting shipyard,조선소 방어를 위한 증빙자료(證憑資料)
Excavator,굴삭기
Exceptional Case,예외적인 경우
Exchange of Notes,교환각서
Exciter,여자기
Exciting Current,여자 전류
Exclusive Economic Zone (EEZ),배타적경제수역
Excursion Boat,회유선
Exemption,면제 규정
Exhaust Gas Boiler,배기(排氣)가스보일라
Exhaust Gas Economizer,배기가스이코노마이저
Exhaust Gas Recirculation (EGR),배기가스 재순환 시스템
Exhaust Gas Turbine,배기가스터빈
Exhaust Manifold,배기 메니홀드
Exhaust Steam Oil Separator,배기분유기
Exhaust Valve,배기 밸브
Existing Ship,현존선(現存船)
Expanded Metal,익스팬디드 메탈
Expanded Metal Grating,팽창격자
Expansion,팽창
Expansion Engine,팽창기관
Expansion Hatch,익스팬션해치
Expansion Joint,신축(伸縮) 이음
Expansion Pipe Joint,신축관이음새
Expansion Plan,전개도
Expansion Tank,팽창(膨脹)탱크
Expedite,촉진(促進)
Expension Loop,신축(伸縮) 루우프
