영단어|한국단어|설명
Sid Thruster|사이드스러스터|배의 길이에 90도항향으로 추진하는 장치로 선수나 선미의 수선 하부에 선체를 관통하여 부착됨
Side Stooer|사이드스토퍼|주기의 수평방향 이동을 잡아주는 쇠붙이
Siren|사이렌|항로신호나 안개중 신호 등에 쓰이는 경고음 발생장치
Sight Glass|사이트글라스|유체의 상태를 관찰하기 위하여 관 등에 끼우는 유리관
Oxy-hydrogen Welding|산소 수소용접|산소와 수소를 사용하여 수소의 연소열을 이용하는 용접
Oxy-acetylene Welding|산소 아세틸렌 용접|산소와 아세틸렌을 사용하여 아세틸렌의 연소열을 이용하는 용접
Oxy-Arc Cutting|산소 아크절단|모재와 전극 사이에 발생하는 아크열로 모재를 가열하고 여기에 산소를 분사하여 절단하는 방법
Oxy-arc Cutting|산소아크절단|강관으로 된 전극과 금속 사이에 아크를 발생시켜 아크열에 의한 강관의 연소열과 산소분사로 금속을 절단하는 방법
Oxyoropane Cutting|산소프로판절단|산소와 프로판의 혼합기체로 모재를 가열 산화시키고 여기에 산소를 불어넣어 절단하는 방법
Oxygen Gouging|산소홈파기|특수한 모양의 토치로 모재를 예열하고 산소를 분출시켜 절단하는 방법
Oxyhydrogen Welding|산수소용접|수소가스의 연소열을 이용하여 용접하는 방법
Prominade Deck|산책갑판|여객의 산책과 운동 등을 위해 마련된 갑판
Coral Boat|산호채취어선|산호채취에 종사하는 어선
Oxydizing Flame|산화불꽃|가스 토치에서 나오는 불꽃으로 중성보다 산소의 양이 많음
Oxidizing Flame|산화염|산소-아세틸렌 불꽃에서 산소의 혼합비가 많아진 불꽃
Padding|살돋움|용접할 때 용융금속의 층을 두껍게 붙여주는 것
Plus Thread|살돋움나사|볼트의 나사가 원살보다 튀어 올라와 있는 나사
Sal Log|살로그|선저에 피토관을 붙여 속력과 항주거리를 측정하는 장비
Director|살수기|소화호스 끝에 붙는 물뿌리개
Sprinkler System|살수장치|소화나 뜨거운 갑판을 식히기 위하여 갑판상에 물을 뿌려 주는 장치
Three Phase|삼상|동일한 주파수로 위상이 서로 120도 어긋나있는 세개의 전류가 존재하는 교류
Triplex Safety Glass|삼중안전유리|담금질에 의하여 강화된 성질이 다른 유리를 여러 겹 적층한 안전유리
Triple Screw Vessel|삼추진기선|추진 프로펠러를 세개 갖춘 선박
Three Deck Vessel|삼층갑판선|상갑판 밑에 세 층의 갑판이 있는 선박
Slip-on Welding Flange|삽입용접플랜지|관을 플랜지에 삽입하여 용접한 플랜지이음
Relative Emergence|상대건현|운동중인 선박의 선수에서 임의의 순간에 계측한 건현
Relative Speed|상대속력|물체 A에 고정한 좌표에 의하여 물체 B의 속도를 측정하는 것
Relative Wind Velocity|상대풍속|배에 대한 상대적인 바람의 속도
Contra-rotating Propeller|상반회전프로펠러|프로펠러 축을 동심 이중축으로 하여 각 축의 후단부에 앞 뒤로 프로펠러를 연결하고 서로 회전방향이 반대가 되도록 돌리는 추진장치
Structure Over Upper Deck|상부구조|선루와 갑판실의 총칭
Upper Bridge Deck|상부선교갑판|선교루갑판 윗층의 갑판
High Suction|상부흡입구|바닥이 얕을 때 이물질의 흡입을 피하여 위에서 취수하는 흡입구
Merchant Ship|상선|영리를 목적으로 종사하는 배의 총칭
Ensign|상선기|상선의 국적을 나타내는 깃발
Cold Bending Test|상온굽힘시험|상온에서 강판 등의 재료를 규정된 각도로 굽히고 굽힘강도와 그 형상등을 관찰하는 시험
Cold Starting|상온시동|기관을 예열하지 않고 시동하는 것
Upper-tween Decks|상층갑판공간|상갑판과 1층갑판 사이의 공간
Heaving|상하동요|선체의 연직축 방향으로 움직이는 상하운동
Sagging|새깅|선체 중앙부가 선수미 보다 내려 앉게 휘는 모양으로 응력을 받아 굽어지는 상태
Sash Door|새시도어|금속재의 창틀로 상하개폐 또는 밀어서 여는 창문
Sand Compaction Barge|샌드콤팩션바지|연악지반을 개량하기 위하여 지름이 크고 압축된 모래파일을 박는 바지
Salvage Pump|샐비지펌프|해난구조에 쓰이는 펌프
Samson Post|샘슨포스트|문모양의 데릭포스트로 일명 킹포스트라고도 칭함
Survival Craft|생존정|조난 후의 인명을 유지시켜 주는 배
Biologic Shield|생체보호차폐|방사선으로부터 인원을 보호해주는 차폐물
Shaft Hanger|샤프트행어|위에서 축을 지지하는 지지대
Shackle|섀클|구멍이나 링을 서로 연결할 때 사용하는 U형의 금속도구로 개폐식 볼트(섀클볼트)가 있음
Submerged Arc Welding|서브머지드 아크용접|피복되지 않은 용접봉과 모재사이에 아크가 노출되지 않고 보호되도록 플럭스 입자로 덮은 상태에서 행해지는 아크용접
Service Bolt|서비스볼트|리벳이나 용접으로 연결될 두 부재를 임시로 고정해주는 볼트
Surge Tank|서지탱크|압력이나 유량의 일시적 불균형을 조정하기 위하여 설치된 탱크
Surging|서징|선체의 전후방향 직선 왕복운동
Product Carrier|석유제품운반선|각종 석유제품을 실어 나르는 배
Coal Carrier|석탄운반선|석탄을 전문으로 운반하는 산적화물선
Hull Girder|선각거더|선각을 하나의 상자형 거더로 나타낸 것
hull Shop|선각공장|선각가공공장(Hul Fabrication Shop)과 블록조립공장( Hull Block Assembly Shop)을 합쳐서 이르는 호칭
Hull Weight|선각중량|선각을 구성하는 부재의 총 중량
Grill Room|선객식당|여객 또는 사관이 이용하는 식당
Bridge|선교|선교루와 같음
Bridge House|선교갑판실|선교에 설치된 갑판실
Bridge Deck|선교루갑판|선미루갑판(Poop Deck)보다 한 층 위에 덮인 갑판으로 선교루의 천정이 됨
Ship`s Fitting|선구|배에서 필요한 작업에 소용되는 여러 가지 도구
Fitting Locker|선구고|갑판에서 필요한 작업에 쓰이는 용품과 선구를 보관하는 창고
Classification Survey|선급검사|선박의 정해진 선급수준을 유지하기 위하여 실시하는 정기적 또는 비정기적 검사
Classification Certificate|선급증서|선급등록심사에 합격하여 선급협회가 선박에 대하여 발행하는 증서
Onboard Test|선내시험|선내에서 기기류의 운전 및 작동상태를 시험하는 것
Berth Declivity|선대경사|선대면의 수면에 대한 경사로 적당한 경사가 없으면 배의 진수나 인양이 불가능함
Erection Man|선대조립공|현재는 탑재취부공(Block Fitter)로 호칭됨
Slipway Launching|선대진수|선대에서 건조된 배를 여러 가지 방식에 의해서 미끌어져 내리게 하여 물에 띄우는 것
Superstructure|선루|상갑판 위에 세워지는 구조물로 위에 덮이는 갑판이 양현에 도달하는 구조물
Quarter Deck|선미갑판|선미부의 상갑판
Afterhood Plating|선미골재외판|선미골재에 좌우대칭으로 붙여지는 외판
Stern Tube Bush|선미관 부시|선미관 뒤쪽 내면에 끼우는 황동 또는 화이트메탈
Stern Tube Gland|선미관글랜드|선미관 앞쪽에서 패킹을 눌러 주어 물이 새들어오는 것을 막아주는 부품
SternTube Nut|선미관너트|선미관을 선미골재에 고정하는 너트
Stern Tube Bearing|선미관베어링|회전축과 선미관 시이에 들어가는 베어링
Stern Tube LubricatingOil {ump|선미관윤활유펌프|선미관 윤할을 위한 기름을 순환시키는 펌프
Stern Tube Shaft|선미관축|선미관을 통과하는 추진축 토막(중간축이 있을 때)
Stern Construction|선미구조|선체 후반부구조의 총칭
Stern Construction Profile|선미구조도|선미부를 선체중심선에 따라 종방향으로 절단한 도면
Stern Engine|선미기관|선미쪽에 배치되는 주기관
Stern Bulb|선미단벌브|저항감소를 목적으로 선미단 수면근처에 붙이는 벌브
Counter|선미돌출부|선미부 중에서 타주부 뒤로 튀어나온 부분
Stern Light|선미등|해상충돌방지를 위해 선미에 다는 등
Poop|선미루|선미부 상갑판 위에 설치된 선루
Poop Deck|선미루갑판|선미루 위에 덮인 갑판
Stern Bulb|선미벌브|추진성능 향상을 위하여 프로펠러 주위에 붙이는 벌브
Transom Beam|선미보|선미골재 상부의 캔트늑골 위에 설치되는 갑판빔
Stern Body|선미부|선체중앙 뒤쪽의 선체를 통칭함
Lift by Stern|선미부양|배를 선대에서 진수할 때 선미가 물에 잠겨 부력을 받아 뜨면서 선대에 남아있는 선수부에 굽힘모멘트가 걸리는 상태
Aftpeak Tank|선미탱크|선미트림 조절을 위해 물을 채우도록 구조된 선미부의 물탱크
Trim by Stern|선미트림|선미흘수가 선수흘수보다 클 때의 흘수상태
Afterpeak Tank|선미피크탱크|선미탱크와 같은 뜻으로 선미격벽 뒷부분에 위치하며 밸러스트와 청수탱크로 활용됨
After Draft|선미흘수|선미부의 흘수
Ship Inspection Certificate|선박검사증서|정밀검사에 합격한 배에 대하여 해당기관이 발급하는 증서
Certificate of Ship`s Nationality|선박국적증서|선박의 국적을 증명하기 위해 국가가 발행하는 증서
Marine Fire Fighting System|선박소방설비|선박에서 화재에 대비하기 위하여 설치하는 소방설비의 총칭
Marine Boiler|선박용보일러|선박에 사용되는 보일러로 육상보일러에 비해 중량과 용적의 제한을 받아 특수하게 제작됨
Marine Turbine|선박용터빈|선박에 사용되는 터빈
SES : Ship Earth Station|선박지구국|인공위성국의 중재에 따라 일정한 곳에 있는 지구국과의 통신을 위하여 선박에 개설 이용하는 지구국
Ship Breaker|선박해체업자|노후선이나 폐기된 선박을 구입하여 해체하고 재활용자재 등을 매각하는 사업자
Bottoms|선복량|보유선박의 척수나 톤수의 합계
Deck Decompression Chamber|선상가압실|가압된 잠수복 속의 잠수작업자를 서서히 정상상태로 회복시키기 위하여 갑판위에 설치된 내압구조실
Line Heating|선상가열법|금속표면을 가열후 급냉시킬 때 일어나는 표면수축에 의한 굽힘응력을 활용하여 판재나 형재를 변형가공하는 방법으로 일정 선을 따라 가열 냉각함으로 붙여진 표면수축 가공법의 명칭
Ice-flower Like Structure|선상조직|용접 파단면에 나타나는 조직으로 미세한 주상결정이 서리모양으로 정열되고 그 사이에 현미경적인 비금속 개재물과 기공이 들어있음
Speed Log|선속계|선박의 속도를 측정하는 장치
Bow Construction Profile|선수구조도|선수부분의 구조를 측면과 각 종단면으로 나타낸 상세구조도면
Jack|선수기|정박중의 배가 국적을 나타내기 위하여 선수에 계양하는 깃발
Jack Staff|선수깃대|선수기를 계양하기 위한 깃대
Bow Anchor|선수닻|선수에 장치되는 닻
Forecastle Bulkhead|선수루후단격벽|선수루 후단에 위치한 수밀격벽
Bow Chock Screen|선수바람막이천막|출입항작업시 선수루에 치는 천막
Fore Cant Frame|선수방사형늑골|선수부외판에 직각으로 붙도록 부채꼴로 붙이는 늑골
Fore Body|선수부|선체중앙에서 앞쪽에 위치한 선체의 총칭
Fore Perpendicular|선수수선|배의 만재흘수선과 선수재외면이 만나는 점을 지나는 수직선
Bow Sheave|선수시브|해저케이블 부설선의 선수에 붙은 큰 도르래
Fiddle Head|선수장식|선수부 양현에 붙여지는 장식조각
Stem|선수재|선체 최선단 중심선상에 붙는 골재로 선수외판이 여기에 연결됨
Head Seat|선수좌판|보트의 앞머리에 붙인 상자형 좌석
Bow Chock Screen|선수촉|선수부에 배치된 촉 또는 페어리더
Bow Sea|선수측면파|진행방향과 사각을 이루면서 다가오는 파도
Drop|선수침하|경사선대 진수시 선체가 자유부양하는 순간에 반동으로 일어나는 선수부의 침하현상
Boe Rudder|선수키|철도연락선 등 앞 뒤가 바뀌는 선박에서 선수에 설치된 키
Forepeak Tank|선수탱크|선수트림을 조절하기 위해 선수창을 물로 채우는 탱크
Bow Wave|선수파|선수부에서 생기는 파도
Fore Poppet|선수포펫|선대진수시 선미부양으로 인한 선수부의 순간적인 집중하중을 분산시키기 위한 완충 보호 구조로 목재가 사용됨
Bow Propeller|선수프로펠러|험수로용 선박에서 배를 편하게 운항하기 위하여 선수에 붙인 추진기
Cabin|선실|선박내의 거주실
Joiner Plan|선실목공도|선실내의 목공사에 대한 공작도면
Cabin Door|선실문|선실에 설치하는 문
Cabin Plan|선실배치도|선실의 배치를 나타낸 도면
Cabin Passenger|선실여객|전용선실을 사용하는 여객
Cabin Stores|선실용품|선내 승무원과 여객이 선실에서 필요로 하는 여러 가지 용품의 총칭
